iter	Accuracy	MultiClass
0	0.6989966555	2.051684239
1	0.7536231884	1.860755827
2	0.8494983278	1.70676503
3	0.8628762542	1.57048245
4	0.8795986622	1.46214052
5	0.900780379	1.36750622
6	0.9052396878	1.275649779
7	0.9175027871	1.200471593
8	0.9241917503	1.1404604
9	0.9253065775	1.071715198
10	0.9375696767	1.012277633
11	0.9364548495	0.9506344269
12	0.9386845039	0.9032664074
13	0.9420289855	0.859260326
14	0.9487179487	0.8224873476
15	0.9453734671	0.786533049
16	0.9487179487	0.7516385512
17	0.9487179487	0.7204995659
18	0.9498327759	0.6853914831
19	0.9542920847	0.6583501155
20	0.9531772575	0.62646603
21	0.9531772575	0.6006061738
22	0.9531772575	0.5803619342
23	0.9542920847	0.5595882936
24	0.9576365663	0.5420548291
25	0.9587513935	0.5232708749
26	0.9598662207	0.505314348
27	0.9598662207	0.4919719626
28	0.9620958751	0.4759111207
29	0.9632107023	0.4628911184
30	0.9654403567	0.4484267577
31	0.9643255295	0.4375685892
32	0.9687848384	0.4246409563
33	0.9698996656	0.4139753258
34	0.9698996656	0.4029693504
35	0.97212932	0.3928032105
36	0.9710144928	0.3848873122
37	0.9732441472	0.373843741
38	0.97212932	0.3647063498
39	0.9743589744	0.3544933401
40	0.9743589744	0.3487313808
41	0.9743589744	0.3417581648
42	0.9754738016	0.3328902515
43	0.9765886288	0.3254522748
44	0.9765886288	0.3188744793
45	0.977703456	0.312100522
46	0.9788182832	0.3037529727
47	0.9799331104	0.2968073553
48	0.9799331104	0.2906678541
49	0.9821627648	0.2854627094
50	0.983277592	0.2834684926
51	0.983277592	0.2788167108
52	0.9821627648	0.274611129
53	0.9843924192	0.2702594801
54	0.983277592	0.2649909615
55	0.9855072464	0.2586116918
56	0.9866220736	0.2534144285
57	0.9855072464	0.2493253032
58	0.9855072464	0.2473866462
59	0.9855072464	0.2424747408
60	0.9855072464	0.2383132101
61	0.9855072464	0.2356349272
62	0.9855072464	0.2322800399
63	0.9855072464	0.2278889748
64	0.9866220736	0.2249075645
65	0.9866220736	0.2202689047
66	0.9866220736	0.2191436104
67	0.9866220736	0.2162262797
68	0.9877369008	0.2108648105
69	0.9877369008	0.2077669762
70	0.9877369008	0.2050396233
71	0.9877369008	0.2026035827
72	0.9877369008	0.1995042238
73	0.9899665552	0.1982970326
74	0.9899665552	0.1977084906
75	0.9910813824	0.1958399587
76	0.9910813824	0.1941729387
77	0.9899665552	0.1913525568
78	0.9910813824	0.1894779791
79	0.9910813824	0.1882761044
80	0.9910813824	0.1865619535
81	0.9910813824	0.1858834451
82	0.9910813824	0.1836219217
83	0.9910813824	0.1809130507
84	0.9910813824	0.1793675667
85	0.9910813824	0.1790817527
86	0.9910813824	0.1787438468
87	0.9910813824	0.1780234643
88	0.9910813824	0.1777969782
89	0.9910813824	0.1767862485
90	0.9910813824	0.1742789726
91	0.9910813824	0.1735850279
92	0.9910813824	0.1728950021
93	0.9910813824	0.1726666511
94	0.9910813824	0.1711575786
95	0.9921962096	0.1695424368
96	0.9933110368	0.1679045109
97	0.9933110368	0.1659512956
98	0.9933110368	0.1645922815
99	0.9933110368	0.1639261507
