iter	Passed	Remaining
0	133	13167
1	172	8449
2	209	6786
3	246	5927
4	284	5410
5	322	5059
6	359	4779
7	397	4570
8	436	4416
9	473	4263
10	511	4137
11	548	4020
12	586	3922
13	623	3832
14	662	3751
15	699	3670
16	740	3614
17	777	3541
18	815	3474
19	852	3408
20	892	3355
21	929	3296
22	967	3237
23	1005	3183
24	1042	3128
25	1081	3078
26	1119	3026
27	1157	2975
28	1195	2926
29	1232	2875
30	1270	2828
31	1307	2778
32	1350	2741
33	1387	2694
34	1425	2646
35	1463	2601
36	1500	2555
37	1538	2510
38	1576	2465
39	1614	2422
40	1651	2377
41	1690	2333
42	1727	2290
43	1765	2246
44	1802	2203
45	1839	2159
46	1877	2116
47	1914	2073
48	1952	2032
49	1989	1989
50	2027	1947
51	2065	1906
52	2104	1866
53	2142	1824
54	2179	1782
55	2216	1741
56	2254	1700
57	2291	1659
58	2328	1618
59	2365	1577
60	2403	1536
61	2440	1495
62	2480	1456
63	2517	1416
64	2554	1375
65	2591	1335
66	2629	1295
67	2666	1254
68	2704	1214
69	2742	1175
70	2781	1136
71	2819	1096
72	2855	1056
73	2893	1016
74	2931	977
75	2970	938
76	3009	898
77	3046	859
78	3083	819
79	3121	780
80	3158	740
81	3196	701
82	3234	662
83	3270	623
84	3307	583
85	3345	544
86	3383	505
87	3419	466
88	3456	427
89	3496	388
90	3532	349
91	3569	310
92	3606	271
93	3643	232
94	3680	193
95	3717	154
96	3755	116
97	3792	77
98	3829	38
99	3867	0
